id,gender,age,class,study_hours_week,sleep_hours,phone_hours_day,transport,math_grade,satisfaction
1,F,16,י,12,7,4,אוטובוס,88,4
2,M,17,יא,5,6,7,רגל,62,2
3,F,16,י,9,8,3,אופניים,79,4
4,M,16,י,3,5,9,אוטובוס,55,2
5,F,17,יא,14,7,2,רגל,93,5
6,M,17,יא,7,6,6,רכב,71,3
7,F,15,י,10,9,3,רגל,85,5
8,M,16,י,2,5,10,אוטובוס,48,1
9,F,17,יא,11,7,4,אופניים,82,4
10,M,16,י,6,6,5,רכב,68,3
11,F,16,י,8,8,4,אוטובוס,77,4
12,M,17,יא,1,4,11,רגל,41,1
13,F,15,י,13,8,2,רגל,90,5
14,M,16,י,4,6,8,רכב,58,2
15,F,17,יא,9,7,5,אוטובוס,80,4
16,M,15,י,7,7,5,אופניים,73,3
17,F,16,י,15,8,1,רגל,95,5
18,M,17,יא,3,5,9,אוטובוס,52,2
19,F,16,י,10,7,3,רכב,84,4
20,M,16,י,5,6,7,רגל,64,3
21,F,17,יא,12,8,2,אופניים,89,5
22,M,15,י,2,5,10,אוטובוס,46,1
23,F,16,י,8,7,4,רגל,78,4
24,M,17,יא,6,6,6,רכב,69,3
25,F,16,י,11,8,3,אוטובוס,86,5
